Date,Open,High,Low,Close,Adj Close,Volume
2015-05-28,98.27999877929688,108.36000061035156,98.27999877929688,104.58000183105469,104.58000183105469,3800
2015-05-29,103.31999969482422,105.83999633789062,99.54000091552734,99.54000091552734,99.54000091552734,800
2015-06-01,100.80000305175781,105.83999633789062,97.0199966430664,100.80000305175781,100.80000305175781,500
2015-06-02,98.27999877929688,105.83999633789062,97.0199966430664,97.0199966430664,97.0199966430664,700
2015-06-03,97.0199966430664,103.31999969482422,97.0199966430664,100.80000305175781,100.80000305175781,300
2015-06-04,102.05999755859375,110.87999725341797,100.80000305175781,108.36000061035156,108.36000061035156,2400
2015-06-05,108.36000061035156,118.44000244140625,103.31999969482422,107.0999984741211,107.0999984741211,4700
2015-06-08,112.13999938964844,112.13999938964844,100.80000305175781,103.31999969482422,103.31999969482422,500
2015-06-09,104.58000183105469,107.0999984741211,103.31999969482422,107.0999984741211,107.0999984741211,400
2015-06-10,107.0999984741211,107.0999984741211,104.58000183105469,104.58000183105469,104.58000183105469,500
2015-06-11,112.13999938964844,114.66000366210938,107.0999984741211,112.13999938964844,112.13999938964844,4900
2015-06-12,114.66000366210938,122.22000122070312,110.87999725341797,117.18000030517578,117.18000030517578,5400
2015-06-15,120.95999908447266,128.52000427246094,115.91999816894531,122.22000122070312,122.22000122070312,4600
2015-06-16,122.22000122070312,126.0,118.44000244140625,118.44000244140625,118.44000244140625,2700
2015-06-17,118.44000244140625,118.44000244140625,112.13999938964844,112.13999938964844,112.13999938964844,1200
2015-06-18,112.13999938964844,118.44000244140625,110.87999725341797,117.18000030517578,117.18000030517578,900
2015-06-19,117.18000030517578,120.95999908447266,114.66000366210938,115.91999816894531,115.91999816894531,700
2015-06-22,114.66000366210938,123.4800033569336,114.66000366210938,123.4800033569336,123.4800033569336,1200
2015-06-23,126.0,126.0,115.91999816894531,120.95999908447266,120.95999908447266,1700
2015-06-24,124.73999786376953,124.73999786376953,115.91999816894531,119.69999694824219,119.69999694824219,1000
2015-06-25,120.95999908447266,123.4800033569336,114.66000366210938,122.22000122070312,122.22000122070312,1100
2015-06-26,126.0,154.97999572753906,126.0,132.3000030517578,132.3000030517578,30700
2015-06-29,132.3000030517578,133.55999755859375,120.95999908447266,126.0,126.0,3700
2015-06-30,127.26000213623047,147.4199981689453,123.4800033569336,144.89999389648438,144.89999389648438,7300
2015-07-01,147.4199981689453,156.24000549316406,132.3000030517578,138.60000610351562,138.60000610351562,8000
2015-07-02,137.33999633789062,141.1199951171875,133.55999755859375,137.33999633789062,137.33999633789062,1900
2015-07-06,134.82000732421875,147.4199981689453,133.55999755859375,139.86000061035156,139.86000061035156,2300
2015-07-07,139.86000061035156,142.3800048828125,133.55999755859375,136.0800018310547,136.0800018310547,2100
2015-07-08,134.82000732421875,138.60000610351562,129.77999877929688,132.3000030517578,132.3000030517578,1900
2015-07-09,134.82000732421875,143.63999938964844,133.55999755859375,139.86000061035156,139.86000061035156,1600
2015-07-10,142.3800048828125,161.27999877929688,139.86000061035156,158.75999450683594,158.75999450683594,8200
2015-07-13,168.83999633789062,195.3000030517578,161.27999877929688,190.25999450683594,190.25999450683594,17100
2015-07-14,186.47999572753906,189.0,168.83999633789062,175.13999938964844,175.13999938964844,7200
2015-07-15,173.8800048828125,173.8800048828125,170.10000610351562,170.10000610351562,170.10000610351562,2900
2015-07-16,168.83999633789062,175.13999938964844,151.1999969482422,152.4600067138672,152.4600067138672,4800
2015-07-17,156.24000549316406,172.6199951171875,153.72000122070312,166.32000732421875,166.32000732421875,3800
